figure_id,class,scientific_question,quantity_kind,support_classification,model_labels,representations,pdf_path,pdf_sha256,png_path,png_sha256,csv_path,csv_sha256,json_sidecar_path,draft_caption
ML1_main_optimization,main,Did each main-paper training objective decrease under its fixed budget?,TRAINING OBJECTIVE HISTORY OR STORED ENDPOINT,Test 2B objective-specific training states or windows,M1-Y; H1; H2; H5,A; B; C,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/ml_results_postprocess_20260829/figures/main/ML1_main_optimization.pdf,e47a95518dc97cc8759925fb6fb828a90beb737776426245d7f928b99073ae9f,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/ml_results_postprocess_20260829/figures/main/ML1_main_optimization.png,ced8446e5c69f477b0b2b8d897c4618732c9c329587fab8a5533daeacd1032e4,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/ml_results_postprocess_20260829/figures/main/ML1_main_optimization.csv,82e65bad4e734090deba4ee5d42ce3f9322224e590a148a53eceb1baf3350799,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/ml_results_postprocess_20260829/figures/main/ML1_main_optimization.json,Optimization of the Test 2B training objectives for the four main-paper methods. M1-Y and H1/M2-Y are shown at saved iterations. H2 and H5 are shown only at their initial and final stage endpoints; intermediate recursive objective values were not reconstructed. Objective normalizations differ across representations.
ML2_main_training_evaluation,main,Does each fitted objective remain accurate over the later evaluation interval?,OBJECTIVE-CONSISTENT SAVED-NETWORK EVALUATION,Test 2B training and evaluation states/windows,M1-Y; H1,A; B; C,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/ml_results_postprocess_20260829/figures/main/ML2_main_training_evaluation.pdf,1898b7a59aeaad62ede94061abdbc51a444ba926e294631b8144cf6e88dd3075,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/ml_results_postprocess_20260829/figures/main/ML2_main_training_evaluation.png,137b0487709793e08bb7ef39110190117837c68facd22cb764a9550aef47a457,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/ml_results_postprocess_20260829/figures/main/ML2_main_training_evaluation.csv,4e2c1df3e002a6cebf77d5b8b8945070f20308813dda29f5f4c0f7e31345aea7,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/ml_results_postprocess_20260829/figures/main/ML2_main_training_evaluation.json,Training and evaluation histories of the fitted nonrecursive objectives. Solid curves show training states or windows; dashed curves with open markers show the later evaluation states or windows. M1-Y is evaluated on truth-derived pre-moist states Y*=P(X*). H1/M2-Y uses fixed one-step pairs from Y* to the corresponding next truth state. Evaluation values were calculated from saved networks and did not influence training.
ML3_main_callsite_physical_accuracy,main,How accurately does each final model reproduce local moist physics at its truth-derived call site?,FINAL FROZEN-NETWORK DIRECT PHYSICAL-LAW ERROR,Test 2B training states 0--80 and evaluation states 81--160 at Y*=P(X*),M1-Y; H1; H2; H5,A; B; C,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/ml_results_postprocess_20260829/figures/main/ML3_main_callsite_physical_accuracy.pdf,fead24e1ae720f53f5dc1d5469357012e97e3b10e7c965ade7499666ed124c55,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/ml_results_postprocess_20260829/figures/main/ML3_main_callsite_physical_accuracy.png,e81fc70629550e87c57ea05356a4b5b99a2749bde574d0cba9d4b7b3d47bee33,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/ml_results_postprocess_20260829/figures/main/ML3_main_callsite_physical_accuracy.csv,4289c8a0c1ad6bc5ea7f2b8d101ba1798f933e33952a4e239e812ad64c453a7e,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/ml_results_postprocess_20260829/figures/main/ML3_main_callsite_physical_accuracy.json,Final-model direct physical-law errors at truth-derived pre-moist states Y*=P(X*). Filled points show training states 0--80 and open points show evaluation states 81--160. Representation A reports A; Representation B reports A and both all-sample and truth-active R errors; Representation C reports the normalized source-vector error. Detailed C source-component and B activation metrics are retained in the supplementary data and main accuracy table.
ML4_main_deployed_physical_diagnostics,main,Which physical properties remain accurate after deployment?,FINAL STORED DEPLOYMENT DIAGNOSTIC,"Test 2B deployed trajectories, states 0--160",M1-Y; H1; H2; H5,A; B; C,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/ml_results_postprocess_20260829/figures/main/ML4_main_deployed_physical_diagnostics.pdf,c2aee68a1b914fdb866fd4f9daa9a2e5d43f951951175f43f49e6522f2477603,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/ml_results_postprocess_20260829/figures/main/ML4_main_deployed_physical_diagnostics.png,40ef7cea2195b3eb708dcd8264c8cdbde5da32e63c10de8c9d65f0745475b2ad,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/ml_results_postprocess_20260829/figures/main/ML4_main_deployed_physical_diagnostics.csv,ca79a2832862d5d12e688460ce15d06f6a7899bc4947db868cc3c9ed6396890d,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/ml_results_postprocess_20260829/figures/main/ML4_main_deployed_physical_diagnostics.json,Physical diagnostics after deploying the four main-paper models in Test 2B. Points denote distinct frozen models and are not connected. Representations A and B impose the water and thermodynamic source identities algebraically; Representation C must approximate them. Moisture minima are finite-element coefficient minima rather than a pointwise positivity proof.
ML5A_main_global_trajectories,main,Do the deployed main-paper models reproduce the global physical evolution?,FINAL STORED DEPLOYMENT DIAGNOSTIC TIME SERIES,"Test 2B deployed trajectories, states 0--160",M1-Y; H1; H2; H5,A,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/ml_results_postprocess_20260829/figures/main/ML5A_main_global_trajectories.pdf,d7164be1e91fc7f0b4872f816827a4b2b453224e58490d3fd53ed413eb211a79,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/ml_results_postprocess_20260829/figures/main/ML5A_main_global_trajectories.png,cca3474f78397bd1b4100b16d27336a825616fbcf30c7c4068533f0d2a5ec769,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/ml_results_postprocess_20260829/figures/main/ML5A_main_global_trajectories.csv,4b1e86aaac29c23b0471d972241068a8289a096caa0563aeda9edc0d821bb885,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/ml_results_postprocess_20260829/figures/main/ML5A_main_global_trajectories.json,"Global Test 2B trajectories for Representation A and the four main-paper models. Integrated cloud and rain water use m^3 under the unit-reference-density convention. Kinetic energy is not total energy, and projected relative-vorticity squared is not potential enstrophy. Vertical guides mark first truth rain at 5100 s and peak integrated truth rain production at 12000 s."
ML5B_main_global_trajectories,main,Do the deployed main-paper models reproduce the global physical evolution?,FINAL STORED DEPLOYMENT DIAGNOSTIC TIME SERIES,"Test 2B deployed trajectories, states 0--160",M1-Y; H1; H2; H5,B,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/ml_results_postprocess_20260829/figures/main/ML5B_main_global_trajectories.pdf,4af9da2406ae76882bdc66fc8439af8d73d750657d2f0b833489dc9c00bb9a62,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/ml_results_postprocess_20260829/figures/main/ML5B_main_global_trajectories.png,cdd6216115d13bfb026687479eee11b96cdb58e3c6031f1a0cbdbf30a9bd3bc0,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/ml_results_postprocess_20260829/figures/main/ML5B_main_global_trajectories.csv,bea2b1831cce7d24440e7f2e71fd60513bc0b7c932c9a7d32a62d1cb9af27054,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/ml_results_postprocess_20260829/figures/main/ML5B_main_global_trajectories.json,"Global Test 2B trajectories for Representation B and the four main-paper models. Integrated cloud and rain water use m^3 under the unit-reference-density convention. Kinetic energy is not total energy, and projected relative-vorticity squared is not potential enstrophy. Vertical guides mark first truth rain at 5100 s and peak integrated truth rain production at 12000 s."
ML5C_main_global_trajectories,main,Do the deployed main-paper models reproduce the global physical evolution?,FINAL STORED DEPLOYMENT DIAGNOSTIC TIME SERIES,"Test 2B deployed trajectories, states 0--160",M1-Y; H1; H2; H5,C,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/ml_results_postprocess_20260829/figures/main/ML5C_main_global_trajectories.pdf,78c9280b2065de110832d1f91eb41baa54005f8303f87d4cd11dcc1b5df00094,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/ml_results_postprocess_20260829/figures/main/ML5C_main_global_trajectories.png,2747ce0498ce46953d30a3e881b45237997cfde5db695bb2a583545f4f5a4e14,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/ml_results_postprocess_20260829/figures/main/ML5C_main_global_trajectories.csv,e5e985dc33bbc25729cbf68cc3d38346f435944a2fc830970e9c1b20841026c9,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/ml_results_postprocess_20260829/figures/main/ML5C_main_global_trajectories.json,"Global Test 2B trajectories for Representation C and the four main-paper models. Integrated cloud and rain water use m^3 under the unit-reference-density convention. Kinetic energy is not total energy, and projected relative-vorticity squared is not potential enstrophy. Vertical guides mark first truth rain at 5100 s and peak integrated truth rain production at 12000 s."
ML1_optimization_progress_test2b,supplement,How much did each training objective decrease under its fixed budget?,FITTED OBJECTIVE HISTORY or STORED OBJECTIVE ENDPOINT,"Test 2B training states 0--80; objective-specific X, Y, or recursive evaluation",M1-X; M1-Y; M2-X-independent; warm M2-X; H1; H2; H5,A; B; C,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/ml_results_postprocess_20260829/figures/supplement/ML1_optimization_progress_test2b.pdf,aa08102e21c51233ef7e6900dfbf0cfd161657c56e0ed76e53eb22faf5276486,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/ml_results_postprocess_20260829/figures/supplement/ML1_optimization_progress_test2b.png,4b28a02bc7a5ef3ad1d1a438c51c26329e43870d945ec314b293c3a301abb220,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/ml_results_postprocess_20260829/figures/supplement/ML1_optimization_progress_test2b.csv,2ca32793a3b39348925f5ac173ffd8d0b91028835f18e7177242aea620e53522,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/ml_results_postprocess_20260829/figures/supplement/ML1_optimization_progress_test2b.json,"Optimization of the Test 2B training objectives. Markers show the iterations at which objective values are available. Direct and one-step histories use the iteration axis shown. H2 and H5 are displayed as paired initial and final values; their final values correspond to the 20-iteration optimization stages, and intermediate recursive values were not reconstructed. Objective normalizations differ across representations."
ML1_test2a_recorded_optimization_progress,supplement,What optimization progress is historically recorded for the Test 2A precursor?,RECORDED SPARSE TRAINING OBJECTIVE HISTORY,Test 2A training support 0--80 only,M1-X; M2-X-independent; warm M2-X; H1; H2; H5,A; C,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/ml_results_postprocess_20260829/figures/supplement/ML1_test2a_recorded_optimization_progress.pdf,833ad0441dc107dd44dac465efb7ffb8b77258c324f37600e85d5bca01b0e3c2,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/ml_results_postprocess_20260829/figures/supplement/ML1_test2a_recorded_optimization_progress.png,2d16c843fb3930956bb2f2021abbe0e6619ba6824f6d1c5fc43505e7eb548986,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/ml_results_postprocess_20260829/figures/supplement/ML1_test2a_recorded_optimization_progress.csv,27bc0bfcdcf2b9040b5f6b5b78e64258bcaf90ace77973bf23c7e138efdb322f,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/ml_results_postprocess_20260829/figures/supplement/ML1_test2a_recorded_optimization_progress.json,Test 2A training-objective histories available for the Representation A and C model ladders. All curves use training states 0--80; no Test 2A evaluation or test set is introduced.
ML2_common_x_direct_history_test2b,supplement,How do models trained under different objectives compare under one common-X direct physical-law diagnostic?,COMMON-X SAVED-NETWORK AUDIT DIAGNOSTIC,"Test 2B training states 0--80 and evaluation states 81--160, all evaluated at X*",M1-X; warm M2-X; H1; H5; M1-Y,A; B; C,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/ml_results_postprocess_20260829/figures/supplement/ML2_common_x_direct_history_test2b.pdf,835fbdd3cb44895dad3ed9d25bcb412bc941736f7b1364caf34002a71c260522,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/ml_results_postprocess_20260829/figures/supplement/ML2_common_x_direct_history_test2b.png,75fc2f187caa292ffb0ba0780f954ad811a6bb5f9fad7b07d5971d2e4bb324b5,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/ml_results_postprocess_20260829/figures/supplement/ML2_common_x_direct_history_test2b.csv,7111ca84a5b9a6e1947067fea12fb5a9406d0a015405d0ded4299b31b8c21601,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/ml_results_postprocess_20260829/figures/supplement/ML2_common_x_direct_history_test2b.json,"Common-X direct physical-law histories retained as an audit diagnostic for selected Test 2B models. Solid curves use states 0--80 and dashed curves with open markers use states 81--160; the later-state values were calculated from saved networks and did not influence optimization. Every curve evaluates the local physical law at timestep-boundary states X*, irrespective of the objective used to train the model. The objective-consistent training/evaluation comparison is the main ML-2 figure."
